DateTime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
2007-03-25 23:56:35+00:00,12691751,Watching the Houston Rockets taking on the New Orleans Hornets.  I am a Rockets fan!,MorphBrand,0.0,0.0,0.0,0.0
2007-03-27 13:10:49+00:00,13595371,Time for NBA Live,parabola,0.0,0.0,0.0,0.0
2007-03-27 10:10:28+00:00,13527931,I can seriously kick ANYONE's ass on NBA Live right now. Who wants to fistfight?,mikevillar,0.0,0.0,0.0,0.0
2007-03-27 16:19:00+00:00,13685071,Social Media Club in Portland tonight - how the Portland Trail Blazers use Social Media: ,socialmediaclub,0.0,0.0,0.0,0.0
2007-03-28 15:18:24+00:00,14327001,"knee deep in bobcats basketball work, my little slice of nba heaven...",flc,0.0,0.0,0.0,0.0
2007-03-28 13:38:37+00:00,14260741,"Another day begins at STATS. On the agenda: NBA, tennis, and Japanese baseball.",justinmpeterson,0.0,0.0,0.0,0.0
2007-03-28 07:05:27+00:00,14130151,"NBA: Cavs trip Pacers, clinch playoff spot: LeBron James had 26 points, seven rebounds and six assist.. ",bostonherald,0.0,0.0,0.0,0.0
2007-03-27 15:37:13+00:00,13666481,"Tinsley, Daniels won’t have to appear for May 22 hearing: INDIANAPOLIS - Indiana Pacers players Jamaa.. ",bostonherald,0.0,0.0,0.0,0.0
2007-03-28 04:54:01+00:00,14079431,Lakers lose to the Mike Miller-less Memphis Grizzlies; how does that happen?,justinmpeterson,0.0,0.0,0.0,0.0
2007-03-29 07:29:59+00:00,14878521,Using the afternoon lull to check out my NBA Fantasy League standing.  Still at number 1 but running out of available games.  3 weeks to go.,CharlieC,0.0,0.0,0.0,0.0
2007-03-29 04:02:58+00:00,14788671,more nba.  trying to get myself to blog,kyleike2,0.0,0.0,0.0,0.0
2007-03-29 00:52:11+00:00,14681631,gonna play nba 2k7,QuincyCastillo,0.0,0.0,0.0,0.0
2007-03-29 02:41:14+00:00,14745561,Watching the Houston Rockets taking on the L.A. Clippers while working on the computer.,MorphBrand,0.0,0.0,0.0,0.0
2007-03-30 03:49:45+00:00,15624131,"Suns-Warriors game is on (OK, I watch too much NBA). Golden State has their ""The City"" uniforms on. These are the best uniforms ever. ",gtaylor,0.0,0.0,0.0,0.0
2007-03-30 02:17:22+00:00,15569261,Playing NBA Street Homecourt,WeepingWillow,0.0,0.0,0.0,0.0
2007-03-31 21:35:44+00:00,16697731,Damn nba basketball keeping me from my baseball game! Who wants to watch the crap nba anyways.,jeffisageek,0.0,0.0,0.0,0.0
2007-03-31 20:17:55+00:00,16661031,"Kobe Bryant is the best NBA player today, and has the chance to be the best EVER.... maybe better than Jordan!  There, I've said it.",MorphBrand,0.0,0.0,1.0,0.0
2007-03-31 04:24:42+00:00,16404441,I think yao ming is the most un athletic person in the nba. That wnba,thisisbigtom,0.0,0.0,0.0,0.0
2007-03-30 20:09:52+00:00,16150551,"Cuban v. EFF lawyer on YouTube, DMCA: hamtaro writes ""Mark Cuban, owner of the Dallas Mavericks and outspoken.. ",topa,0.0,0.0,0.0,0.0
2007-04-01 19:40:37+00:00,17195631,"watching HR vs. LAC 3/29, meanwhile leeching HR vs. LAL 3/31. an nba night!",LEMONed,0.0,0.0,0.0,0.0
2007-04-01 02:33:16+00:00,16831591,Hes a no one...will do nuting in the nba,mdove,0.0,0.0,0.0,0.0
2007-04-02 16:04:57+00:00,17752071,phoenix suns=2006-2007 NBA champs.  Dallas Mavericks can eat my shorts.  :),nick_911,0.0,0.0,0.0,0.0
2007-04-03 01:29:37+00:00,18110801, - one of the best NBA clips of the season,regen,0.0,0.0,0.0,0.0
2007-04-05 23:20:19+00:00,20349341,Huskies center Hawes declares for NBA draft - ,espn,0.0,0.0,0.0,0.0
2007-04-05 20:41:15+00:00,20251501,Playing NBA 2K7 on the xbox ... and losing.,robdotca,0.0,0.0,0.0,0.0
2007-04-05 19:20:19+00:00,20194781,Report: Florida's four juniors entering NBA draft - ,espn,0.0,0.0,0.0,0.0
2007-04-05 15:25:27+00:00,20019991,Might have to go and pick up NBA Street. I always seem to get a new game before a week of travel.,scottw,0.0,0.0,0.0,0.0
