Start Date,End Date,Visitor/Neutral,Home/Neutral
2010-12-3,2010-12-5,Dallas Mavericks,Utah Jazz
2010-12-4,2010-12-6,Atlanta Hawks,Miami Heat
2010-12-4,2010-12-6,Charlotte Bobcats,Philadelphia 76ers
2010-12-4,2010-12-6,Houston Rockets,Chicago Bulls
2010-12-4,2010-12-6,Cleveland Cavaliers,Minnesota Timberwolves
2010-12-4,2010-12-6,Orlando Magic,Milwaukee Bucks
2010-12-4,2010-12-6,Dallas Mavericks,Sacramento Kings
2010-12-5,2010-12-7,Boston Celtics,New Jersey Nets
2010-12-5,2010-12-7,New York Knicks,Toronto Raptors
2010-12-5,2010-12-7,Cleveland Cavaliers,Detroit Pistons
2010-12-5,2010-12-7,Golden State Warriors,Oklahoma City Thunder
2010-12-5,2010-12-7,New Orleans Hornets,San Antonio Spurs
2010-12-5,2010-12-7,Memphis Grizzlies,Denver Nuggets
2010-12-5,2010-12-7,Washington Wizards,Phoenix Suns
2010-12-5,2010-12-7,Los Angeles Clippers,Portland Trail Blazers
2010-12-6,2010-12-8,Toronto Raptors,Indiana Pacers
2010-12-6,2010-12-8,Atlanta Hawks,Orlando Magic
2010-12-6,2010-12-8,Minnesota Timberwolves,New York Knicks
2010-12-6,2010-12-8,Oklahoma City Thunder,Chicago Bulls
2010-12-6,2010-12-8,Miami Heat,Milwaukee Bucks
2010-12-6,2010-12-8,Memphis Grizzlies,Utah Jazz
2010-12-6,2010-12-8,Sacramento Kings,Los Angeles Clippers
2010-12-7,2010-12-9,New Jersey Nets,Atlanta Hawks
2010-12-7,2010-12-9,Denver Nuggets,Charlotte Bobcats
2010-12-7,2010-12-9,Cleveland Cavaliers,Philadelphia 76ers
2010-12-7,2010-12-9,Golden State Warriors,Dallas Mavericks
2010-12-7,2010-12-9,Detroit Pistons,Houston Rockets
2010-12-7,2010-12-9,Phoenix Suns,Portland Trail Blazers
2010-12-7,2010-12-9,Washington Wizards,Los Angeles Lakers
2010-12-8,2010-12-10,Denver Nuggets,Boston Celtics
2010-12-8,2010-12-10,Chicago Bulls,Cleveland Cavaliers
2010-12-8,2010-12-10,Toronto Raptors,New York Knicks
2010-12-8,2010-12-10,Indiana Pacers,Milwaukee Bucks
2010-12-8,2010-12-10,Oklahoma City Thunder,Minnesota Timberwolves
2010-12-8,2010-12-10,Detroit Pistons,New Orleans Hornets
2010-12-8,2010-12-10,Golden State Warriors,San Antonio Spurs
2010-12-8,2010-12-10,Memphis Grizzlies,Phoenix Suns
2010-12-8,2010-12-10,Miami Heat,Utah Jazz
2010-12-8,2010-12-10,Washington Wizards,Sacramento Kings
2010-12-8,2010-12-10,Los Angeles Lakers,Los Angeles Clippers
2010-12-9,2010-12-11,Boston Celtics,Philadelphia 76ers
2010-12-9,2010-12-11,New Jersey Nets,Dallas Mavericks
2010-12-9,2010-12-11,Orlando Magic,Portland Trail Blazers
2010-12-10,2010-12-12,Charlotte Bobcats,Indiana Pacers
2010-12-10,2010-12-12,Denver Nuggets,Toronto Raptors
2010-12-10,2010-12-12,New York Knicks,Washington Wizards
2010-12-10,2010-12-12,Los Angeles Lakers,Chicago Bulls
2010-12-10,2010-12-12,Detroit Pistons,Minnesota Timberwolves
2010-12-10,2010-12-12,Oklahoma City Thunder,New Orleans Hornets
2010-12-10,2010-12-12,Houston Rockets,Milwaukee Bucks
2010-12-10,2010-12-12,Atlanta Hawks,San Antonio Spurs
2010-12-10,2010-12-12,Portland Trail Blazers,Phoenix Suns
2010-12-10,2010-12-12,Orlando Magic,Utah Jazz
2010-12-10,2010-12-12,Miami Heat,Golden State Warriors
2010-12-11,2010-12-13,Memphis Grizzlies,Los Angeles Clippers
2010-12-11,2010-12-13,Indiana Pacers,Atlanta Hawks
2010-12-11,2010-12-13,Boston Celtics,Charlotte Bobcats
2010-12-11,2010-12-13,Toronto Raptors,Detroit Pistons
2010-12-11,2010-12-13,Minnesota Timberwolves,Chicago Bulls
2010-12-11,2010-12-13,Utah Jazz,Dallas Mavericks
2010-12-11,2010-12-13,Cleveland Cavaliers,Houston Rockets
2010-12-11,2010-12-13,Miami Heat,Sacramento Kings
2010-12-12,2010-12-14,Denver Nuggets,New York Knicks
2010-12-12,2010-12-14,New Orleans Hornets,Philadelphia 76ers
2010-12-12,2010-12-14,Los Angeles Lakers,New Jersey Nets
2010-12-12,2010-12-14,Portland Trail Blazers,San Antonio Spurs
2010-12-12,2010-12-14,Cleveland Cavaliers,Oklahoma City Thunder
2010-12-12,2010-12-14,Orlando Magic,Los Angeles Clippers
2010-12-13,2010-12-15,New Orleans Hornets,Miami Heat
2010-12-13,2010-12-15,Indiana Pacers,Chicago Bulls
2010-12-13,2010-12-15,Portland Trail Blazers,Memphis Grizzlies
2010-12-13,2010-12-15,Milwaukee Bucks,Dallas Mavericks
2010-12-13,2010-12-15,Golden State Warriors,Utah Jazz
2010-12-14,2010-12-16,Toronto Raptors,Charlotte Bobcats
2010-12-14,2010-12-16,Philadelphia 76ers,New Jersey Nets
2010-12-14,2010-12-16,Los Angeles Lakers,Washington Wizards
2010-12-14,2010-12-16,Atlanta Hawks,Detroit Pistons
2010-12-14,2010-12-16,Sacramento Kings,Houston Rockets
2010-12-14,2010-12-16,Orlando Magic,Denver Nuggets
2010-12-14,2010-12-16,Minnesota Timberwolves,Golden State Warriors
2010-12-15,2010-12-17,Los Angeles Lakers,Indiana Pacers
2010-12-15,2010-12-17,Boston Celtics,New York Knicks
2010-12-15,2010-12-17,Los Angeles Clippers,Philadelphia 76ers
2010-12-15,2010-12-17,Chicago Bulls,Toronto Raptors
2010-12-15,2010-12-17,Cleveland Cavaliers,Miami Heat
2010-12-15,2010-12-17,Charlotte Bobcats,Memphis Grizzlies
2010-12-15,2010-12-17,Sacramento Kings,New Orleans Hornets
2010-12-15,2010-12-17,Houston Rockets,Oklahoma City Thunder
2010-12-15,2010-12-17,Milwaukee Bucks,San Antonio Spurs
2010-12-15,2010-12-17,Minnesota Timberwolves,Phoenix Suns
2010-12-15,2010-12-17,Portland Trail Blazers,Dallas Mavericks
2010-12-16,2010-12-18,Washington Wizards,New Jersey Nets
2010-12-16,2010-12-18,Atlanta Hawks,Boston Celtics
2010-12-16,2010-12-18,San Antonio Spurs,Denver Nuggets
2010-12-17,2010-12-19,Cleveland Cavaliers,Indiana Pacers
2010-12-17,2010-12-19,Miami Heat,New York Knicks
2010-12-17,2010-12-19,Los Angeles Lakers,Philadelphia 76ers
2010-12-17,2010-12-19,New Jersey Nets,Toronto Raptors
2010-12-17,2010-12-19,Charlotte Bobcats,Atlanta Hawks
2010-12-17,2010-12-19,Los Angeles Clippers,Detroit Pistons
2010-12-17,2010-12-19,Utah Jazz,New Orleans Hornets
2010-12-17,2010-12-19,Sacramento Kings,Oklahoma City Thunder
2010-12-17,2010-12-19,Memphis Grizzlies,Houston Rockets
2010-12-17,2010-12-19,Phoenix Suns,Dallas Mavericks
2010-12-17,2010-12-19,Minnesota Timberwolves,Portland Trail Blazers
2010-12-18,2010-12-20,Philadelphia 76ers,Orlando Magic
2010-12-18,2010-12-20,Miami Heat,Washington Wizards
2010-12-18,2010-12-20,New York Knicks,Cleveland Cavaliers
2010-12-18,2010-12-20,Los Angeles Clippers,Chicago Bulls
2010-12-18,2010-12-20,Utah Jazz,Milwaukee Bucks
2010-12-18,2010-12-20,Memphis Grizzlies,San Antonio Spurs
2010-12-18,2010-12-20,Minnesota Timberwolves,Denver Nuggets
2010-12-18,2010-12-20,Golden State Warriors,Portland Trail Blazers
2010-12-19,2010-12-21,Indiana Pacers,Boston Celtics
2010-12-19,2010-12-21,Atlanta Hawks,New Jersey Nets
2010-12-19,2010-12-21,Los Angeles Lakers,Toronto Raptors
2010-12-19,2010-12-21,New Orleans Hornets,Detroit Pistons
2010-12-19,2010-12-21,Houston Rockets,Sacramento Kings
2010-12-19,2010-12-21,Phoenix Suns,Oklahoma City Thunder
2010-12-20,2010-12-22,Orlando Magic,Atlanta Hawks
2010-12-20,2010-12-22,Utah Jazz,Cleveland Cavaliers
2010-12-20,2010-12-22,New Orleans Hornets,Indiana Pacers
2010-12-20,2010-12-22,Charlotte Bobcats,Washington Wizards
2010-12-20,2010-12-22,Dallas Mavericks,Miami Heat
2010-12-20,2010-12-22,Phoenix Suns,San Antonio Spurs
2010-12-20,2010-12-22,Milwaukee Bucks,Portland Trail Blazers
2010-12-20,2010-12-22,Houston Rockets,Golden State Warriors
2010-12-20,2010-12-22,Minnesota Timberwolves,Los Angeles Clippers
2010-12-21,2010-12-23,Oklahoma City Thunder,Charlotte Bobcats
2010-12-21,2010-12-23,Dallas Mavericks,Orlando Magic
2010-12-21,2010-12-23,Philadelphia 76ers,Chicago Bulls
2010-12-21,2010-12-23,New Jersey Nets,Memphis Grizzlies
2010-12-21,2010-12-23,Golden State Warriors,Sacramento Kings
2010-12-21,2010-12-23,Milwaukee Bucks,Los Angeles Lakers
