Date,Number Games,Total Attendance,Avg Attendance Per Game
2008-04-23,3,59697,19899
2008-04-24,3,60107,20035.66667
2008-04-25,3,58066,19355.33333
2008-04-26,4,79654,19913.5
2008-04-27,4,77586,19396.5
2008-04-28,3,56799,18933
2008-04-29,4,77402,19350.5
2008-04-30,2,39186,19593
2008-05-01,1,14130,14130
2008-05-02,3,60509,20169.66667
2008-05-03,2,40116,20058
2008-05-04,2,37621,18810.5
2008-05-05,2,40003,20001.5
2008-05-06,1,18624,18624
2008-05-07,2,36516,18258
2008-05-08,2,37421,18710.5
2008-05-09,1,19911,19911
2008-05-10,2,38081,19040.5
2008-05-11,2,38708,19354
2008-05-12,1,20562,20562
2008-05-13,2,40322,20161
2008-05-14,2,37621,18810.5
2008-05-15,1,18797,18797
2008-05-16,2,40473,20236.5
2008-05-18,1,18624,18624
2008-05-19,1,18235,18235
2008-05-20,1,18624,18624
2008-05-21,1,18997,18997
2008-05-22,1,18624,18624
2008-05-23,1,18997,18997
2008-05-24,1,22076,22076
2008-05-25,1,18797,18797
2008-05-26,1,22076,22076
2008-05-27,1,18797,18797
2008-05-28,1,18624,18624
2008-05-29,1,18997,18997
2008-05-30,1,22076,22076
2008-06-05,1,18624,18624
2008-06-08,1,18624,18624
2008-06-10,1,18997,18997
2008-06-12,1,18997,18997
2008-06-15,1,18997,18997
2008-06-17,1,18624,18624
2008-10-28,3,59383,19794.33333
2008-10-29,12,227271,18939.25
2008-10-30,3,59050,19683.33333
2008-10-31,7,117814,16830.57143
2008-11-01,14,261759,18697.07143
2008-11-02,2,36353,18176.5
2008-11-03,6,79485,13247.5
2008-11-04,3,50919,16973
2008-11-05,13,214864,16528
2008-11-06,2,37018,18509
2008-11-07,13,231297,17792.07692
2008-11-08,6,109466,18244.33333
2008-11-09,8,131457,16432.125
2008-11-10,5,76449,15289.8
2008-11-11,8,130977,16372.125
2008-11-12,11,172451,15677.36364
2008-11-13,3,60790,20263.33333
2008-11-14,12,192224,16018.66667
2008-11-15,8,135726,16965.75
2008-11-16,6,98552,16425.33333
2008-11-17,3,53018,17672.66667
2008-11-18,10,153832,15383.2
2008-11-19,10,170734,17073.4
2008-11-20,2,37046,18523
2008-11-21,13,224393,17261
2008-11-22,9,153810,17090
2008-11-23,5,90631,18126.2
2008-11-24,7,113184,16169.14286
2008-11-25,5,91744,18348.8
2008-11-26,13,223344,17180.30769
2008-11-27,2,28858,14429
2008-11-28,11,210893,19172.09091
2008-11-29,11,183275,16661.36364
2008-11-30,5,90257,18051.4
2008-12-01,3,46632,15544
2008-12-02,8,132916,16614.5
2008-12-03,11,175286,15935.09091
2008-12-04,2,35679,17839.5
2008-12-05,11,189685,17244.09091
2008-12-06,10,167690,16769
2008-12-07,4,72533,18133.25
2008-12-08,4,58791,14697.75
2008-12-09,9,156528,17392
2008-12-10,9,153448,17049.77778
2008-12-11,3,59820,19940
2008-12-12,11,204509,18591.72727
2008-12-13,10,172891,17289.1
2008-12-14,4,67224,16806
2008-12-15,9,147277,16364.11111
2008-12-16,6,96470,16078.33333
2008-12-17,9,146462,16273.55556
2008-12-18,2,38111,19055.5
2008-12-19,12,205043,17086.91667
2008-12-20,10,160960,16096
2008-12-21,4,68575,17143.75
2008-12-22,6,104297,17382.83333
2008-12-23,12,207806,17317.16667
2008-12-25,5,96085,19217
2008-12-26,10,179684,17968.4
2008-12-27,8,141768,17721
2008-12-28,6,106410,17735
2008-12-29,8,147121,18390.125
2008-12-30,9,152094,16899.33333
2008-12-31,6,113294,18882.33333
2009-01-02,15,271829,18121.93333
2009-01-03,7,122233,17461.85714
2009-01-04,6,107954,17992.33333
2009-01-05,5,78679,15735.8
2009-01-06,8,133475,16684.375
2009-01-07,12,196035,16336.25
2009-01-08,2,37652,18826
2009-01-09,12,213276,17773
2009-01-10,6,114527,19087.83333
2009-01-11,7,119955,17136.42857
2009-01-12,6,100190,16698.33333
2009-01-13,7,110358,15765.42857
2009-01-14,11,189138,17194.36364
2009-01-15,3,53194,17731.33333
2009-01-16,10,167533,16753.3
2009-01-17,9,173535,19281.66667
2009-01-18,2,38936,19468
2009-01-19,12,211432,17619.33333
2009-01-20,4,73645,18411.25
2009-01-21,11,188262,17114.72727
2009-01-22,2,36458,18229
2009-01-23,10,185029,18502.9
2009-01-24,6,107512,17918.66667
2009-01-25,9,159563,17729.22222
2009-01-26,7,118481,16925.85714
2009-01-27,5,88269,17653.8
2009-01-28,12,195408,16284
2009-01-29,2,35883,17941.5
2009-01-30,11,197128,17920.72727
2009-01-31,10,179191,17919.1
2009-02-01,4,71317,17829.25
2009-02-02,8,135060,16882.5
2009-02-03,6,93699,15616.5
2009-02-04,11,187805,17073.18182
2009-02-05,3,49234,16411.33333
2009-02-06,9,151299,16811
2009-02-07,7,119601,17085.85714
2009-02-08,10,183259,18325.9
2009-02-09,4,52449,13112.25
2009-02-10,9,157657,17517.44444
2009-02-11,12,204186,17015.5
2009-02-12,3,61408,20469.33333
2009-02-17,10,173167,17316.7
2009-02-18,11,187290,17026.36364
2009-02-19,2,41987,20993.5
2009-02-20,11,198843,18076.63636
2009-02-21,5,99015,19803
2009-02-22,9,164967,18329.66667
2009-02-23,6,97230,16205
2009-02-24,8,153391,19173.875
2009-02-25,11,179573,16324.81818
2009-02-26,2,37396,18698
2009-02-27,13,236402,18184.76923
2009-02-28,7,124001,17714.42857
2009-03-01,9,157030,17447.77778
2009-03-02,5,80264,16052.8
2009-03-03,8,128536,16067
2009-03-04,10,187628,18762.8
2009-03-05,2,34031,17015.5
2009-03-06,10,189598,18959.8
2009-03-07,9,164770,18307.77778
2009-03-08,7,122403,17486.14286
2009-03-09,6,103555,17259.16667
2009-03-10,6,94006,15667.66667
2009-03-11,11,188422,17129.27273
2009-03-12,2,37219,18609.5
2009-03-13,11,190741,17340.09091
2009-03-14,6,112409,18734.83333
2009-03-15,11,202882,18443.81818
2009-03-16,5,75848,15169.6
2009-03-17,8,153250,19156.25
2009-03-18,11,178168,16197.09091
2009-03-19,3,57058,19019.33333
2009-03-20,11,206873,18806.63636
2009-03-21,7,131105,18729.28571
2009-03-22,7,124686,17812.28571
2009-03-23,7,124929,17847
2009-03-24,4,78346,19586.5
2009-03-25,11,197291,17935.54545
